text,type,category,severity
"There is a road collapse in Tambaram for the past 4 days, causing inconvenience",Complaint,Road,High
Please arrange to fix the garbage not collected in Anna Nagar,Request,Garbage,Low
Please arrange to fix the pothole in Velachery,Request,Road,Low
It would be better if authorities improve the street light not working situation in Anna Nagar,Suggestion,Electricity,Low
Please arrange to fix the street light not working in Perambur,Request,Electricity,Low
Please arrange to fix the traffic congestion in Velachery,Request,Transport,Low
"There is a stagnant water causing disease in T Nagar for the past 1 days, causing inconvenience",Complaint,Health,Low
"There is a sewage issue in Adyar for the past 3 days, causing inconvenience",Complaint,Drainage,High
Please arrange to fix the pipe burst in Velachery,Request,Water,Low
Please arrange to fix the damaged bus stop in Perambur,Request,Transport,Low
It would be better if authorities improve the electric pole issue situation in T Nagar,Suggestion,Electricity,Low
Please arrange to fix the no water supply in Tambaram,Request,Water,Low
Please arrange to fix the traffic congestion in Anna Nagar,Request,Transport,Low
Please arrange to fix the street light not working in Tambaram,Request,Electricity,Low
It would be better if authorities improve the street light not working situation in T Nagar,Suggestion,Electricity,Low
Please arrange to fix the electric pole issue in Tambaram,Request,Electricity,Low
Please arrange to fix the mosquito problem in Tambaram,Request,Health,Low
Please arrange to fix the pothole in Anna Nagar,Request,Road,Low
It would be better if authorities improve the garbage not collected situation in T Nagar,Suggestion,Garbage,Low
Please arrange to fix the damaged bus stop in Perambur,Request,Transport,Low
It would be better if authorities improve the dirty water situation in Anna Nagar,Suggestion,Water,Low
It would be better if authorities improve the bus delay situation in Guindy,Suggestion,Transport,Low
"There is a road collapse in Velachery for the past 5 days, causing inconvenience",Complaint,Road,High
It would be better if authorities improve the sewage issue situation in Guindy,Suggestion,Drainage,Low
Please arrange to fix the pothole in T Nagar,Request,Road,Low
Please arrange to fix the sewage issue in Adyar,Request,Drainage,Low
"There is a stagnant water causing disease in T Nagar for the past 3 days, causing inconvenience",Complaint,Health,High
Please arrange to fix the electric pole issue in Perambur,Request,Electricity,Low
It would be better if authorities improve the traffic congestion situation in Adyar,Suggestion,Transport,Low
It would be better if authorities improve the overflowing dustbin situation in Perambur,Suggestion,Garbage,Low
Please arrange to fix the sewage issue in Adyar,Request,Drainage,Low
Please arrange to fix the electric pole issue in Perambur,Request,Electricity,Low
It would be better if authorities improve the mosquito problem situation in T Nagar,Suggestion,Health,Low
"There is a power cut in T Nagar, causing inconvenience",Complaint,Electricity,Low
"There is a blocked drainage in Adyar for the past 3 days, causing inconvenience",Complaint,Drainage,High
Please arrange to fix the blocked drainage in Guindy,Request,Drainage,Low
Please arrange to fix the water leakage in Anna Nagar,Request,Water,Low
Please arrange to fix the mosquito problem in Adyar,Request,Health,Low
It would be better if authorities improve the overflowing dustbin situation in T Nagar,Suggestion,Garbage,Low
It would be better if authorities improve the road damage situation in Anna Nagar,Suggestion,Road,Low
Please arrange to fix the mosquito problem in Velachery,Request,Health,Low
It would be better if authorities improve the sewage issue situation in Adyar,Suggestion,Drainage,Low
"There is a public toilet unclean in Perambur, causing inconvenience",Complaint,Health,Low
It would be better if authorities improve the power cut situation in Perambur,Suggestion,Electricity,Low
Please arrange to fix the mosquito problem in Perambur,Request,Health,Low
"There is a garbage not collected in T Nagar for the past 5 days, causing inconvenience",Complaint,Garbage,High
Please arrange to fix the dirty water in Guindy,Request,Water,Low
Please arrange to fix the no water supply in Adyar,Request,Water,Low
"There is a electric pole issue in Perambur for the past 1 days, causing inconvenience",Complaint,Electricity,Low
"There is a street light not working in Velachery for the past 2 days, causing inconvenience",Complaint,Electricity,Medium
It would be better if authorities improve the stagnant water causing disease situation in T Nagar,Suggestion,Health,Low
It would be better if authorities improve the road damage situation in Velachery,Suggestion,Road,Low
"There is a no water supply in Adyar for the past 5 days, causing inconvenience",Complaint,Water,High
It would be better if authorities improve the bus delay situation in Adyar,Suggestion,Transport,Low
"There is a overflowing dustbin in T Nagar for the past 1 days, causing inconvenience",Complaint,Garbage,High
"There is a dirty water in Anna Nagar for the past 3 days, causing inconvenience",Complaint,Water,High
It would be better if authorities improve the drainage overflow situation in Tambaram,Suggestion,Drainage,Low
"There is a road damage in Anna Nagar for the past 4 days, causing inconvenience",Complaint,Road,High
Please arrange to fix the public toilet unclean in T Nagar,Request,Health,Low
"There is a bad smell from waste in Adyar, causing inconvenience",Complaint,Garbage,Low
It would be better if authorities improve the dirty water situation in Anna Nagar,Suggestion,Water,Low
"There is a mosquito problem in Adyar for the past 4 days, causing inconvenience",Complaint,Health,High
Please arrange to fix the sewage issue in Tambaram,Request,Drainage,Low
Please arrange to fix the garbage not collected in Anna Nagar,Request,Garbage,Low
"There is a mosquito problem in T Nagar for the past 5 days, causing inconvenience",Complaint,Health,High
Please arrange to fix the road collapse in Guindy,Request,Road,Low
Please arrange to fix the drainage overflow in T Nagar,Request,Drainage,Low
It would be better if authorities improve the road damage situation in Guindy,Suggestion,Road,Low
Please arrange to fix the electric pole issue in Velachery,Request,Electricity,Low
"There is a power cut in Tambaram, causing inconvenience",Complaint,Electricity,Low
Please arrange to fix the traffic congestion in Tambaram,Request,Transport,Low
It would be better if authorities improve the damaged bus stop situation in Tambaram,Suggestion,Transport,Low
Please arrange to fix the traffic congestion in Velachery,Request,Transport,Low
Please arrange to fix the drainage overflow in Perambur,Request,Drainage,Low
It would be better if authorities improve the power cut situation in Tambaram,Suggestion,Electricity,Low
"There is a overflowing dustbin in Adyar for the past 2 days, causing inconvenience",Complaint,Garbage,High
It would be better if authorities improve the water leakage situation in Perambur,Suggestion,Water,Low
It would be better if authorities improve the pipe burst situation in Guindy,Suggestion,Water,Low
"There is a pothole in Adyar for the past 3 days, causing inconvenience",Complaint,Road,High
It would be better if authorities improve the pothole situation in Tambaram,Suggestion,Road,Low
Please arrange to fix the pipe burst in T Nagar,Request,Water,Low
It would be better if authorities improve the sewage issue situation in Guindy,Suggestion,Drainage,Low
Please arrange to fix the public toilet unclean in Anna Nagar,Request,Health,Low
"There is a bus delay in Velachery, causing inconvenience",Complaint,Transport,Low
Please arrange to fix the garbage not collected in Perambur,Request,Garbage,Low
"There is a public toilet unclean in Adyar for the past 5 days, causing inconvenience",Complaint,Health,High
"There is a road damage in Guindy for the past 5 days, causing inconvenience",Complaint,Road,High
It would be better if authorities improve the bad smell from waste situation in T Nagar,Suggestion,Garbage,Low
Please arrange to fix the bad smell from waste in Adyar,Request,Garbage,Low
Please arrange to fix the traffic congestion in Velachery,Request,Transport,Low
"There is a street light not working in T Nagar for the past 1 days, causing inconvenience",Complaint,Electricity,Low
"There is a electric pole issue in Perambur for the past 5 days, causing inconvenience",Complaint,Electricity,High
"There is a drainage overflow in Tambaram, causing inconvenience",Complaint,Drainage,High
"There is a sewage issue in Perambur for the past 1 days, causing inconvenience",Complaint,Drainage,Low
It would be better if authorities improve the pothole situation in Tambaram,Suggestion,Road,Low
It would be better if authorities improve the blocked drainage situation in T Nagar,Suggestion,Drainage,Low
"There is a bad smell from waste in Anna Nagar for the past 4 days, causing inconvenience",Complaint,Garbage,High
It would be better if authorities improve the drainage overflow situation in Guindy,Suggestion,Drainage,Low
Please arrange to fix the pipe burst in Tambaram,Request,Water,Low
"There is a stagnant water causing disease in Guindy, causing inconvenience",Complaint,Health,Low
"There is a water leakage in Adyar, causing inconvenience",Complaint,Water,Low
It would be better if authorities improve the pipe burst situation in Guindy,Suggestion,Water,Low
Please arrange to fix the damaged bus stop in Tambaram,Request,Transport,Low
Please arrange to fix the street light not working in Adyar,Request,Electricity,Low
Please arrange to fix the garbage not collected in Guindy,Request,Garbage,Low
Please arrange to fix the dirty water in Guindy,Request,Water,Low
Please arrange to fix the street light not working in Velachery,Request,Electricity,Low
"There is a public toilet unclean in Tambaram for the past 2 days, causing inconvenience",Complaint,Health,Medium
Please arrange to fix the drainage overflow in Tambaram,Request,Drainage,Low
It would be better if authorities improve the stagnant water causing disease situation in Guindy,Suggestion,Health,Low
"There is a blocked drainage in Perambur for the past 2 days, causing inconvenience",Complaint,Drainage,Medium
Please arrange to fix the pipe burst in Perambur,Request,Water,Low
It would be better if authorities improve the electric pole issue situation in Velachery,Suggestion,Electricity,Low
Please arrange to fix the bad smell from waste in Tambaram,Request,Garbage,Low
It would be better if authorities improve the dirty water situation in Anna Nagar,Suggestion,Water,Low
Please arrange to fix the electric pole issue in Guindy,Request,Electricity,Low
Please arrange to fix the no water supply in Tambaram,Request,Water,Low
"There is a road collapse in Adyar for the past 3 days, causing inconvenience",Complaint,Road,High
It would be better if authorities improve the street light not working situation in Guindy,Suggestion,Electricity,Low
"There is a pipe burst in Velachery for the past 5 days, causing inconvenience",Complaint,Water,High
Please arrange to fix the public toilet unclean in Adyar,Request,Health,Low
It would be better if authorities improve the overflowing dustbin situation in Tambaram,Suggestion,Garbage,Low
"There is a road damage in Tambaram, causing inconvenience",Complaint,Road,Low
Please arrange to fix the bus delay in Tambaram,Request,Transport,Low
Please arrange to fix the road collapse in T Nagar,Request,Road,Low
Please arrange to fix the garbage not collected in Tambaram,Request,Garbage,Low
Please arrange to fix the stagnant water causing disease in Tambaram,Request,Health,Low
It would be better if authorities improve the public toilet unclean situation in T Nagar,Suggestion,Health,Low
It would be better if authorities improve the street light not working situation in Anna Nagar,Suggestion,Electricity,Low
"There is a mosquito problem in Tambaram for the past 1 days, causing inconvenience",Complaint,Health,Low
Please arrange to fix the stagnant water causing disease in Tambaram,Request,Health,Low
"There is a power cut in T Nagar for the past 3 days, causing inconvenience",Complaint,Electricity,High
Please arrange to fix the bad smell from waste in Tambaram,Request,Garbage,Low
It would be better if authorities improve the mosquito problem situation in Anna Nagar,Suggestion,Health,Low
Please arrange to fix the street light not working in Adyar,Request,Electricity,Low
It would be better if authorities improve the garbage not collected situation in Tambaram,Suggestion,Garbage,Low
Please arrange to fix the dirty water in Anna Nagar,Request,Water,Low
Please arrange to fix the sewage issue in T Nagar,Request,Drainage,Low
"There is a stagnant water causing disease in Anna Nagar for the past 4 days, causing inconvenience",Complaint,Health,High
Please arrange to fix the electric pole issue in T Nagar,Request,Electricity,Low
It would be better if authorities improve the garbage not collected situation in Tambaram,Suggestion,Garbage,Low
"There is a pipe burst in Perambur for the past 5 days, causing inconvenience",Complaint,Water,High
"There is a garbage not collected in Perambur for the past 4 days, causing inconvenience",Complaint,Garbage,High
Please arrange to fix the pipe burst in T Nagar,Request,Water,Low
Please arrange to fix the bad smell from waste in Adyar,Request,Garbage,Low
It would be better if authorities improve the no water supply situation in Adyar,Suggestion,Water,Low
Please arrange to fix the overflowing dustbin in Adyar,Request,Garbage,Low
Please arrange to fix the garbage not collected in Guindy,Request,Garbage,Low
It would be better if authorities improve the road collapse situation in Anna Nagar,Suggestion,Road,Low
Please arrange to fix the pipe burst in Guindy,Request,Water,Low
It would be better if authorities improve the no water supply situation in Guindy,Suggestion,Water,Low
"There is a overflowing dustbin in Anna Nagar, causing inconvenience",Complaint,Garbage,High
"There is a public toilet unclean in Tambaram for the past 1 days, causing inconvenience",Complaint,Health,Low
"There is a garbage not collected in Guindy for the past 3 days, causing inconvenience",Complaint,Garbage,High
Please arrange to fix the garbage not collected in Adyar,Request,Garbage,Low
"There is a electric pole issue in Anna Nagar for the past 5 days, causing inconvenience",Complaint,Electricity,High
Please arrange to fix the stagnant water causing disease in Perambur,Request,Health,Low
Please arrange to fix the power cut in T Nagar,Request,Electricity,Low
Please arrange to fix the dirty water in Guindy,Request,Water,Low
Please arrange to fix the bad smell from waste in Guindy,Request,Garbage,Low
It would be better if authorities improve the mosquito problem situation in Perambur,Suggestion,Health,Low
"There is a drainage overflow in Velachery for the past 2 days, causing inconvenience",Complaint,Drainage,High
Please arrange to fix the pothole in T Nagar,Request,Road,Low
"There is a public toilet unclean in Guindy for the past 2 days, causing inconvenience",Complaint,Health,Medium
"There is a mosquito problem in Anna Nagar for the past 2 days, causing inconvenience",Complaint,Health,Medium
"There is a public toilet unclean in T Nagar for the past 1 days, causing inconvenience",Complaint,Health,Low
Please arrange to fix the public toilet unclean in Perambur,Request,Health,Low
Please arrange to fix the public toilet unclean in T Nagar,Request,Health,Low
Please arrange to fix the bad smell from waste in Adyar,Request,Garbage,Low
Please arrange to fix the water leakage in Guindy,Request,Water,Low
Please arrange to fix the road damage in Tambaram,Request,Road,Low
Please arrange to fix the bus delay in Velachery,Request,Transport,Low
Please arrange to fix the dirty water in Anna Nagar,Request,Water,Low
It would be better if authorities improve the overflowing dustbin situation in Anna Nagar,Suggestion,Garbage,Low
"There is a bad smell from waste in Tambaram, causing inconvenience",Complaint,Garbage,Low
It would be better if authorities improve the damaged bus stop situation in T Nagar,Suggestion,Transport,Low
It would be better if authorities improve the bad smell from waste situation in T Nagar,Suggestion,Garbage,Low
"There is a overflowing dustbin in Velachery for the past 5 days, causing inconvenience",Complaint,Garbage,High
It would be better if authorities improve the road collapse situation in Anna Nagar,Suggestion,Road,Low
"There is a sewage issue in Tambaram for the past 1 days, causing inconvenience",Complaint,Drainage,Low
Please arrange to fix the pipe burst in Anna Nagar,Request,Water,Low
It would be better if authorities improve the damaged bus stop situation in T Nagar,Suggestion,Transport,Low
Please arrange to fix the bus delay in Perambur,Request,Transport,Low
"There is a street light not working in Velachery for the past 4 days, causing inconvenience",Complaint,Electricity,High
Please arrange to fix the no water supply in Anna Nagar,Request,Water,Low
"There is a dirty water in Adyar for the past 2 days, causing inconvenience",Complaint,Water,Medium
Please arrange to fix the blocked drainage in Guindy,Request,Drainage,Low
Please arrange to fix the power cut in Velachery,Request,Electricity,Low
Please arrange to fix the bus delay in Anna Nagar,Request,Transport,Low
Please arrange to fix the road collapse in Anna Nagar,Request,Road,Low
"There is a public toilet unclean in Perambur for the past 2 days, causing inconvenience",Complaint,Health,Medium
"There is a electric pole issue in T Nagar for the past 2 days, causing inconvenience",Complaint,Electricity,Medium
"There is a garbage not collected in Anna Nagar for the past 4 days, causing inconvenience",Complaint,Garbage,High
Please arrange to fix the road collapse in Anna Nagar,Request,Road,Low
It would be better if authorities improve the bad smell from waste situation in Anna Nagar,Suggestion,Garbage,Low
It would be better if authorities improve the drainage overflow situation in Velachery,Suggestion,Drainage,Low
It would be better if authorities improve the traffic congestion situation in Velachery,Suggestion,Transport,Low
"There is a electric pole issue in Tambaram for the past 3 days, causing inconvenience",Complaint,Electricity,High
Please arrange to fix the mosquito problem in Tambaram,Request,Health,Low
Please arrange to fix the traffic congestion in Guindy,Request,Transport,Low
It would be better if authorities improve the bus delay situation in Velachery,Suggestion,Transport,Low
Please arrange to fix the overflowing dustbin in Anna Nagar,Request,Garbage,Low
Please arrange to fix the garbage not collected in Perambur,Request,Garbage,Low
Please arrange to fix the stagnant water causing disease in Perambur,Request,Health,Low
It would be better if authorities improve the overflowing dustbin situation in Velachery,Suggestion,Garbage,Low
"There is a bad smell from waste in Velachery for the past 3 days, causing inconvenience",Complaint,Garbage,High
It would be better if authorities improve the overflowing dustbin situation in Adyar,Suggestion,Garbage,Low
Please arrange to fix the mosquito problem in T Nagar,Request,Health,Low
"There is a power cut in Adyar for the past 1 days, causing inconvenience",Complaint,Electricity,Low
It would be better if authorities improve the road damage situation in Anna Nagar,Suggestion,Road,Low
Please arrange to fix the public toilet unclean in Adyar,Request,Health,Low
It would be better if authorities improve the power cut situation in Anna Nagar,Suggestion,Electricity,Low
"There is a street light not working in Adyar for the past 2 days, causing inconvenience",Complaint,Electricity,Medium
"There is a road damage in Guindy for the past 1 days, causing inconvenience",Complaint,Road,Low
Please arrange to fix the stagnant water causing disease in Velachery,Request,Health,Low
"There is a stagnant water causing disease in Adyar for the past 2 days, causing inconvenience",Complaint,Health,Medium
Please arrange to fix the garbage not collected in Anna Nagar,Request,Garbage,Low
Please arrange to fix the power cut in Anna Nagar,Request,Electricity,Low
It would be better if authorities improve the garbage not collected situation in Tambaram,Suggestion,Garbage,Low
"There is a sewage issue in T Nagar for the past 4 days, causing inconvenience",Complaint,Drainage,High
"There is a road collapse in Guindy for the past 3 days, causing inconvenience",Complaint,Road,High
It would be better if authorities improve the dirty water situation in Anna Nagar,Suggestion,Water,Low
Please arrange to fix the blocked drainage in Velachery,Request,Drainage,Low
It would be better if authorities improve the pipe burst situation in Guindy,Suggestion,Water,Low
"There is a stagnant water causing disease in Tambaram for the past 1 days, causing inconvenience",Complaint,Health,Low
"There is a road collapse in T Nagar for the past 3 days, causing inconvenience",Complaint,Road,High
It would be better if authorities improve the public toilet unclean situation in Velachery,Suggestion,Health,Low
"There is a pipe burst in Anna Nagar for the past 4 days, causing inconvenience",Complaint,Water,High
Please arrange to fix the pothole in T Nagar,Request,Road,Low
It would be better if authorities improve the overflowing dustbin situation in Anna Nagar,Suggestion,Garbage,Low
"There is a water leakage in Adyar, causing inconvenience",Complaint,Water,Low
Please arrange to fix the sewage issue in Velachery,Request,Drainage,Low
Please arrange to fix the electric pole issue in Perambur,Request,Electricity,Low
It would be better if authorities improve the garbage not collected situation in T Nagar,Suggestion,Garbage,Low
"There is a road damage in Adyar for the past 2 days, causing inconvenience",Complaint,Road,Medium
"There is a stagnant water causing disease in Perambur for the past 1 days, causing inconvenience",Complaint,Health,Low
"There is a stagnant water causing disease in Tambaram for the past 5 days, causing inconvenience",Complaint,Health,High
Please arrange to fix the power cut in Guindy,Request,Electricity,Low
"There is a traffic congestion in Tambaram for the past 2 days, causing inconvenience",Complaint,Transport,Medium
"There is a drainage overflow in Velachery for the past 5 days, causing inconvenience",Complaint,Drainage,High
It would be better if authorities improve the garbage not collected situation in Guindy,Suggestion,Garbage,Low
It would be better if authorities improve the damaged bus stop situation in T Nagar,Suggestion,Transport,Low
It would be better if authorities improve the stagnant water causing disease situation in Perambur,Suggestion,Health,Low
Please arrange to fix the garbage not collected in Velachery,Request,Garbage,Low
Please arrange to fix the bus delay in Velachery,Request,Transport,Low
It would be better if authorities improve the overflowing dustbin situation in Anna Nagar,Suggestion,Garbage,Low
It would be better if authorities improve the damaged bus stop situation in Adyar,Suggestion,Transport,Low
It would be better if authorities improve the drainage overflow situation in Tambaram,Suggestion,Drainage,Low
Please arrange to fix the pipe burst in Guindy,Request,Water,Low
It would be better if authorities improve the mosquito problem situation in Anna Nagar,Suggestion,Health,Low
"There is a traffic congestion in Tambaram for the past 1 days, causing inconvenience",Complaint,Transport,Low
"There is a stagnant water causing disease in Guindy for the past 4 days, causing inconvenience",Complaint,Health,High
It would be better if authorities improve the traffic congestion situation in Velachery,Suggestion,Transport,Low
Please arrange to fix the bad smell from waste in Guindy,Request,Garbage,Low
"There is a blocked drainage in Adyar, causing inconvenience",Complaint,Drainage,Low
Please arrange to fix the drainage overflow in Perambur,Request,Drainage,Low
Please arrange to fix the power cut in Guindy,Request,Electricity,Low
Please arrange to fix the mosquito problem in Guindy,Request,Health,Low
"There is a traffic congestion in Anna Nagar for the past 1 days, causing inconvenience",Complaint,Transport,Low
Please arrange to fix the road damage in Anna Nagar,Request,Road,Low
It would be better if authorities improve the overflowing dustbin situation in Anna Nagar,Suggestion,Garbage,Low
"There is a bus delay in Perambur for the past 2 days, causing inconvenience",Complaint,Transport,Medium
It would be better if authorities improve the dirty water situation in T Nagar,Suggestion,Water,Low
"There is a traffic congestion in Guindy for the past 3 days, causing inconvenience",Complaint,Transport,High
Please arrange to fix the dirty water in Guindy,Request,Water,Low
Please arrange to fix the drainage overflow in Adyar,Request,Drainage,Low
"There is a garbage not collected in Perambur for the past 1 days, causing inconvenience",Complaint,Garbage,Low
It would be better if authorities improve the bus delay situation in Guindy,Suggestion,Transport,Low
It would be better if authorities improve the power cut situation in T Nagar,Suggestion,Electricity,Low
Please arrange to fix the power cut in Tambaram,Request,Electricity,Low
Please arrange to fix the damaged bus stop in Anna Nagar,Request,Transport,Low
"There is a road damage in Anna Nagar for the past 1 days, causing inconvenience",Complaint,Road,Low
Please arrange to fix the bus delay in Perambur,Request,Transport,Low
"There is a street light not working in Adyar, causing inconvenience",Complaint,Electricity,Low
It would be better if authorities improve the damaged bus stop situation in T Nagar,Suggestion,Transport,Low
Please arrange to fix the overflowing dustbin in Perambur,Request,Garbage,Low
Please arrange to fix the garbage not collected in Guindy,Request,Garbage,Low
It would be better if authorities improve the traffic congestion situation in Perambur,Suggestion,Transport,Low
Please arrange to fix the overflowing dustbin in T Nagar,Request,Garbage,Low
"There is a street light not working in Perambur for the past 4 days, causing inconvenience",Complaint,Electricity,High
It would be better if authorities improve the pothole situation in Adyar,Suggestion,Road,Low
Please arrange to fix the dirty water in Tambaram,Request,Water,Low
It would be better if authorities improve the water leakage situation in T Nagar,Suggestion,Water,Low
Please arrange to fix the blocked drainage in Tambaram,Request,Drainage,Low
"There is a street light not working in Velachery for the past 3 days, causing inconvenience",Complaint,Electricity,High
Please arrange to fix the water leakage in Adyar,Request,Water,Low
"There is a garbage not collected in Anna Nagar for the past 5 days, causing inconvenience",Complaint,Garbage,High
"There is a bad smell from waste in T Nagar, causing inconvenience",Complaint,Garbage,Low
Please arrange to fix the overflowing dustbin in T Nagar,Request,Garbage,Low
It would be better if authorities improve the bad smell from waste situation in Velachery,Suggestion,Garbage,Low
Please arrange to fix the pipe burst in Velachery,Request,Water,Low
"There is a road damage in Guindy for the past 4 days, causing inconvenience",Complaint,Road,High
"There is a bad smell from waste in T Nagar for the past 4 days, causing inconvenience",Complaint,Garbage,High
"There is a power cut in Guindy, causing inconvenience",Complaint,Electricity,Low
Please arrange to fix the public toilet unclean in Perambur,Request,Health,Low
"There is a dirty water in Guindy for the past 3 days, causing inconvenience",Complaint,Water,High
It would be better if authorities improve the blocked drainage situation in Anna Nagar,Suggestion,Drainage,Low
"There is a road damage in Velachery for the past 5 days, causing inconvenience",Complaint,Road,High
"There is a bad smell from waste in Adyar for the past 3 days, causing inconvenience",Complaint,Garbage,High
"There is a dirty water in Anna Nagar for the past 4 days, causing inconvenience",Complaint,Water,High
It would be better if authorities improve the pothole situation in Tambaram,Suggestion,Road,Low
It would be better if authorities improve the damaged bus stop situation in Adyar,Suggestion,Transport,Low
"There is a pothole in Anna Nagar for the past 2 days, causing inconvenience",Complaint,Road,Medium
It would be better if authorities improve the traffic congestion situation in Guindy,Suggestion,Transport,Low
It would be better if authorities improve the water leakage situation in Guindy,Suggestion,Water,Low
Please arrange to fix the stagnant water causing disease in Adyar,Request,Health,Low
It would be better if authorities improve the bad smell from waste situation in T Nagar,Suggestion,Garbage,Low
"There is a bad smell from waste in Velachery for the past 2 days, causing inconvenience",Complaint,Garbage,Medium
"There is a street light not working in Perambur, causing inconvenience",Complaint,Electricity,Low
It would be better if authorities improve the bad smell from waste situation in Perambur,Suggestion,Garbage,Low
Please arrange to fix the dirty water in Adyar,Request,Water,Low
It would be better if authorities improve the damaged bus stop situation in Tambaram,Suggestion,Transport,Low
Please arrange to fix the road collapse in Adyar,Request,Road,Low
"There is a damaged bus stop in Adyar for the past 1 days, causing inconvenience",Complaint,Transport,Low
It would be better if authorities improve the power cut situation in Adyar,Suggestion,Electricity,Low
It would be better if authorities improve the traffic congestion situation in T Nagar,Suggestion,Transport,Low
It would be better if authorities improve the electric pole issue situation in Perambur,Suggestion,Electricity,Low
It would be better if authorities improve the sewage issue situation in T Nagar,Suggestion,Drainage,Low
"There is a mosquito problem in Tambaram for the past 1 days, causing inconvenience",Complaint,Health,Low
It would be better if authorities improve the public toilet unclean situation in Adyar,Suggestion,Health,Low
Please arrange to fix the overflowing dustbin in Adyar,Request,Garbage,Low
"There is a mosquito problem in Guindy for the past 1 days, causing inconvenience",Complaint,Health,Low
Please arrange to fix the public toilet unclean in T Nagar,Request,Health,Low
It would be better if authorities improve the street light not working situation in T Nagar,Suggestion,Electricity,Low
It would be better if authorities improve the drainage overflow situation in Perambur,Suggestion,Drainage,Low
Please arrange to fix the stagnant water causing disease in T Nagar,Request,Health,Low
It would be better if authorities improve the stagnant water causing disease situation in Guindy,Suggestion,Health,Low
"There is a pothole in Guindy, causing inconvenience",Complaint,Road,Low
It would be better if authorities improve the drainage overflow situation in Velachery,Suggestion,Drainage,Low
It would be better if authorities improve the street light not working situation in Tambaram,Suggestion,Electricity,Low
It would be better if authorities improve the no water supply situation in Adyar,Suggestion,Water,Low
"There is a traffic congestion in Velachery for the past 2 days, causing inconvenience",Complaint,Transport,Medium
Please arrange to fix the mosquito problem in T Nagar,Request,Health,Low
Please arrange to fix the damaged bus stop in Adyar,Request,Transport,Low
It would be better if authorities improve the public toilet unclean situation in Adyar,Suggestion,Health,Low
It would be better if authorities improve the street light not working situation in Perambur,Suggestion,Electricity,Low
Please arrange to fix the water leakage in Velachery,Request,Water,Low
It would be better if authorities improve the public toilet unclean situation in Perambur,Suggestion,Health,Low
It would be better if authorities improve the garbage not collected situation in Perambur,Suggestion,Garbage,Low
Please arrange to fix the public toilet unclean in T Nagar,Request,Health,Low
It would be better if authorities improve the electric pole issue situation in Tambaram,Suggestion,Electricity,Low
"There is a power cut in Velachery for the past 5 days, causing inconvenience",Complaint,Electricity,High
It would be better if authorities improve the mosquito problem situation in Velachery,Suggestion,Health,Low
Please arrange to fix the blocked drainage in Tambaram,Request,Drainage,Low
"There is a bad smell from waste in Velachery for the past 1 days, causing inconvenience",Complaint,Garbage,Low
Please arrange to fix the drainage overflow in Perambur,Request,Drainage,Low
Please arrange to fix the sewage issue in Tambaram,Request,Drainage,Low
Please arrange to fix the traffic congestion in Tambaram,Request,Transport,Low
Please arrange to fix the stagnant water causing disease in Velachery,Request,Health,Low
"There is a road damage in Anna Nagar for the past 3 days, causing inconvenience",Complaint,Road,High
Please arrange to fix the pothole in T Nagar,Request,Road,Low
It would be better if authorities improve the electric pole issue situation in Perambur,Suggestion,Electricity,Low
"There is a stagnant water causing disease in Guindy for the past 1 days, causing inconvenience",Complaint,Health,Low
Please arrange to fix the no water supply in Adyar,Request,Water,Low
"There is a stagnant water causing disease in Tambaram for the past 3 days, causing inconvenience",Complaint,Health,High
"There is a blocked drainage in Anna Nagar for the past 1 days, causing inconvenience",Complaint,Drainage,Low
"There is a stagnant water causing disease in Guindy for the past 3 days, causing inconvenience",Complaint,Health,High
"There is a pothole in Tambaram for the past 2 days, causing inconvenience",Complaint,Road,Medium
"There is a bus delay in Perambur for the past 2 days, causing inconvenience",Complaint,Transport,Medium
It would be better if authorities improve the traffic congestion situation in Velachery,Suggestion,Transport,Low
It would be better if authorities improve the public toilet unclean situation in Adyar,Suggestion,Health,Low
"There is a dirty water in Anna Nagar for the past 1 days, causing inconvenience",Complaint,Water,Low
Please arrange to fix the pipe burst in Perambur,Request,Water,Low
Please arrange to fix the drainage overflow in Guindy,Request,Drainage,Low
Please arrange to fix the bad smell from waste in Guindy,Request,Garbage,Low
"There is a pipe burst in Adyar for the past 4 days, causing inconvenience",Complaint,Water,High
Please arrange to fix the sewage issue in Tambaram,Request,Drainage,Low
Please arrange to fix the overflowing dustbin in Adyar,Request,Garbage,Low
"There is a road collapse in Tambaram for the past 1 days, causing inconvenience",Complaint,Road,High
Please arrange to fix the road collapse in Anna Nagar,Request,Road,Low
It would be better if authorities improve the garbage not collected situation in T Nagar,Suggestion,Garbage,Low
Please arrange to fix the no water supply in Perambur,Request,Water,Low
It would be better if authorities improve the dirty water situation in Anna Nagar,Suggestion,Water,Low
"There is a bus delay in Tambaram for the past 2 days, causing inconvenience",Complaint,Transport,Medium
Please arrange to fix the bad smell from waste in Adyar,Request,Garbage,Low
"There is a damaged bus stop in Adyar, causing inconvenience",Complaint,Transport,Low
It would be better if authorities improve the traffic congestion situation in Adyar,Suggestion,Transport,Low
"There is a bus delay in T Nagar for the past 3 days, causing inconvenience",Complaint,Transport,High
Please arrange to fix the overflowing dustbin in Guindy,Request,Garbage,Low
It would be better if authorities improve the power cut situation in Perambur,Suggestion,Electricity,Low
Please arrange to fix the public toilet unclean in Anna Nagar,Request,Health,Low
Please arrange to fix the stagnant water causing disease in Anna Nagar,Request,Health,Low
